,question,retrieval_type,llm,response
0,List the advantages of pre-training and fine-tuning.,hybrid,t5,CSE 156 NLP 38 Pretraining Advantages of Pre-training & Fine-tuning
1,List the advantages of pre-training and fine-tuning.,sparse,t5,Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Answer this: List the advantages of pre-training and fine-tuning.
2,List the advantages of pre-training and fine-tuning.,dense,t5,CSE 156 NLP 38 Pretraining Advantages of Pre-training & Fine-tuning • Leveraging rich underlying information from abundant raw texts
3,List the advantages of pre-training and fine-tuning.,bm25,t5,CSE 156 NLP 38 Pretraining Advantages of Pre-training & Fine-tuning • Leveraging rich underlying information from abundant raw texts. • Advantages • Reduces the likelihood of incorrect information or hallucinations in the final output. • Advantages • Reduces the likelihood of incorrect information or hallucinations in the final output. • Advantages • Reduces the likelihood of incorrect information or hallucinations in the final output. Lecture 10 DSC 190: Machine Learning with Few Labels Pretraining Pre
4,List the advantages of pre-training and fine-tuning.,tfidf,t5,Pre-training! • Advantages • Reduces the likelihood of incorrect information or hallucinations in the final output. • Advantages • Reduces the likelihood of incorrect information or hallucinations in the final output. Answer this: List the advantages of pre-training and fine-tuning.
5,List the advantages of pre-training and fine-tuning.,hybrid,gemini,"Leveraging rich underlying information from abundant raw texts.
"
6,List the advantages of pre-training and fine-tuning.,sparse,gemini,"The provided text does not contain any information about the advantages of pre-training and fine-tuning.  It only repeats the question ""How can we align LLMs with supervised fine-tuning (SFT)?"" and mentions Proximal Policy Optimization (PPO) without explaining it or connecting it to pre-training/fine-tuning advantages.  Therefore, I cannot answer your question based on the given context.
"
7,List the advantages of pre-training and fine-tuning.,dense,gemini,"Leveraging rich underlying information from abundant raw texts.
"
8,List the advantages of pre-training and fine-tuning.,bm25,gemini,"- Leveraging rich underlying information from abundant raw texts.
- Reduces the likelihood of incorrect information or hallucinations in the final output.
"
9,List the advantages of pre-training and fine-tuning.,tfidf,gemini,"* Leverages rich underlying information from abundant raw texts.
* Reduces the likelihood of incorrect information or hallucinations in the final output.
"
10,List measures of fit used to evaluate language models.,hybrid,t5,"R Problem: Estimate a probability distribution such that X s2V p(s) = 1; 8s 2 V, p(s) 0 CSE 156 NLP 35 Language Modeling and N-Grams"
11,List measures of fit used to evaluate language models.,sparse,t5,Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat
12,List measures of fit used to evaluate language models.,dense,t5,"X s2V p(s) = 1; 8s 2 V, p(s) 0 CSE 156 NLP 35 Language Modeling and N-Grams"
13,List measures of fit used to evaluate language models.,bm25,t5,"Claude Shannon • Want to assign high probability to observed words 48 CSE 156 NLP Language Modeling and N-Grams Language Model Evaluation Would like to understand how the LM perform on unseen text General Approach: • Take a training set and a test set D D0 • Fit a model (e.g., n-gram) on training set M D • Evaluate the model on unseen test set D0 M D0 • We care about performance of on not because it is special in any"
14,List measures of fit used to evaluate language models.,tfidf,t5,"Claude Shannon • Want to assign high probability to observed words 48 CSE 156 NLP Language Modeling and N-Grams Language Model Evaluation Would like to understand how the LM perform on unseen text General Approach: • Take a training set and a test set D D0 • Fit a model (e.g., n-gram) on training set M D • Evaluate the model on unseen test set D0 M D0 • We care about performance of on not because it is special in any"
15,List measures of fit used to evaluate language models.,hybrid,gemini,"Log likelihood.
"
16,List measures of fit used to evaluate language models.,sparse,gemini,"The provided text does not list any measures of fit used to evaluate language models. It defines language models, repeats ""Proximal Policy Optimization (PPO)"" and asks about aligning LLMs with supervised fine-tuning, but it doesn't mention any evaluation metrics.
"
17,List measures of fit used to evaluate language models.,dense,gemini,"The measures of fit used to evaluate language models mentioned in the text are:

* **Likelihood:** probability of the data under the model (pM(D0))
* **Log Likelihood:** log of the probability of the data with respect to the model (log(pM(D0)))
* **Negative Log Likelihood:** -log(pM(D0))
* **Perplexity:** inverse probability of the data, normalized by the number of words (or tokens) (PM(D0) := pM(D0)^1/N)
"
18,List measures of fit used to evaluate language models.,bm25,gemini,"* **Likelihood:** Probability of the data under the model (pM(D0))
* **Log Likelihood:** Log of the probability of the data with respect to the model (log(pM(D0)))
* **Negative Log Likelihood:** -log(pM(D0))
* **Perplexity:** Inverse probability of the data, normalized by the number of words or tokens (PM(D0) := pM(D0)^(1/N))
"
19,List measures of fit used to evaluate language models.,tfidf,gemini,"The measures of fit used to evaluate language models are:

* **Likelihood:** The probability of the data under the model (pM(D0)).
* **Log Likelihood:** The log of the probability of the data with respect to the model (log(pM(D0))).
* **Negative Log Likelihood:** The negative of the log likelihood (-log(pM(D0))).
* **Perplexity:** The inverse probability of the data, normalized by the number of words or tokens (PM(D0) := pM(D0)^(1/N)).
"
20,What are convolutional neural networks?,hybrid,t5,CSE 156 NLP 9 Multimodality Vision Encoder: Convolutional Neural Networks • CNNs: Extract features that encode spatial and temporal relationships in image with convolution operations
21,What are convolutional neural networks?,sparse,t5,Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Direct Preference Optim (DPO) Personalization! Direct Preference Optim (DPO) Personalization! Answer this: What are convolutional neural networks?
22,What are convolutional neural networks?,dense,t5,Statistical NLP - CSE 156 7 The Era of LLMs 8 • Large language models (LLMs) are large scale neural networks that are pre-trained on vast amounts of text data
23,What are convolutional neural networks?,bm25,t5,CSE 156 NLP 9 Multimodality Vision Encoder: Convolutional Neural Networks • CNNs: Extract features that encode spatial and temporal relationships in image with convolution operations
24,What are convolutional neural networks?,tfidf,t5,CSE 156 NLP 9 Multimodality Vision Encoder: Convolutional Neural Networks • CNNs: Extract features that encode spatial and temporal relationships in image with convolution operations
25,What are convolutional neural networks?,hybrid,gemini,"Convolutional neural networks (CNNs) extract features that encode spatial and temporal relationships in images using convolution operations.
"
26,What are convolutional neural networks?,sparse,gemini,"This document does not contain the answer to what convolutional neural networks are. It only mentions Proximal Policy Optimization (PPO) and Direct Preference Optimization (DPO), along with their associated domains.
"
27,What are convolutional neural networks?,dense,gemini,"CNNs extract features that encode spatial and temporal relationships in images with convolution operations.
"
28,What are convolutional neural networks?,bm25,gemini,"CNNs extract features that encode spatial and temporal relationships in images with convolution operations.  They produce an output the same size as the vocabulary, |V|.
"
29,What are convolutional neural networks?,tfidf,gemini,"Convolutional neural networks (CNNs) extract features that encode spatial and temporal relationships in an image with convolution operations.
"
30,What is the attention method?,hybrid,t5,"CSE 156 NLP 24 Transformer Attention as a soft, averaging lookup table"
31,What is the attention method?,sparse,t5,Proximal Policy Optimization (PPO) Task/Domain Whaaat? Proximal Policy Optimization (PPO) Task/Domain Whaaat? Direct Preference Optim (DPO) Personalization! Answer this: What is the attention method?
32,What is the attention method?,dense,t5,"CSE 156 NLP 24 Transformer Attention as a soft, averaging lookup table"
33,What is the attention method?,bm25,t5,WQ a1 WK a4 Method 1 (most common): Dot product Method 2: Additive 7 CSE 156 NLP Transformer How to compute?
34,What is the attention method?,tfidf,t5,WQ a1 WK a4 Method 1 (most common): Dot product Method 2: Additive 7 CSE 156 NLP Transformer How to compute? • What is a safe output??? • What is a polite output?
35,What is the attention method?,hybrid,gemini,"Attention can be thought of as a soft, averaging lookup table, performing fuzzy lookup in a key-value store.  It treats each token’s representation as a query to access and incorporate information from a set of values.
"
36,What is the attention method?,sparse,gemini,"This text doesn't define or explain the attention method.  It only mentions language models, Proximal Policy Optimization (PPO), and Direct Preference Optimization (DPO).
"
37,What is the attention method?,dense,gemini,"Attention is described as a soft, averaging lookup table, similar to performing a fuzzy lookup in a key-value store.  It treats each token's representation as a query to access and incorporate information from a set of values.  The context also mentions ""Multi-head Attention,"" implying that this specific type of attention mechanism is being discussed.
"
38,What is the attention method?,bm25,gemini,"This text doesn't mention any object being thrown. It discusses attention methods, alignment of LLMs, and safe output in the context of Natural Language Processing (NLP) and transformers.
"
39,What is the attention method?,tfidf,gemini,"This text discusses two methods for computing α (alpha): dot product and additive.  These are related to the concept of ""attention.""  While the text mentions ""Alignment of LLMs,"" it doesn't define it directly.  It implies alignment relates to producing ""safe"" and ""polite"" outputs, but it doesn't give a precise definition.
"
40,What is needed to achieve a more general world model for simulative reasoning?,hybrid,t5,"... Choose one out of 3 options Wake up with violent stomach aches... 33 Outline of this talk Constraints Cause-Effect Logic COLD Decoding Steering machine reasoning to satisfy constraints Many forms of reasoning Unified framework with energy-based modeling COLD Decoding: Energy-based constrained text generation with langevin dynamics [Qin et al., NeurIPS 2022] Oral 34 Outline of this talk Constraints Cause-Effect Logic Maieutic Prompting"
